target_direction,flanker_direction,current_congruency,previous_congruency,response_type,initiation_time,movement_time,response_time
right,right,C,i,repeat,0.224,0.241,0.459
right,left,I,c,repeat,0.238,0.253,0.492
left,right,I,i,switch,0.226,0.269,0.486
left,right,I,i,repeat,0.251,0.288,0.543
right,left,I,i,switch,0.185,0.256,0.438
right,left,I,i,repeat,0.285,0.208,0.488
left,left,C,i,switch,0.21,0.222,0.426
left,right,I,c,repeat,0.208,0.309,0.507
right,right,C,i,switch,0.236,0.241,0.475
left,left,C,c,switch,0.235,0.191,0.423
left,left,C,c,repeat,0.239,0.235,0.468
right,right,C,i,switch,0.191,0.27,0.455
right,left,I,c,repeat,0.276,0.375,0.635
left,left,C,i,switch,0.257,0.157,0.408
right,left,I,c,switch,0.271,0.217,0.491
left,right,I,i,switch,0.272,0.256,0.523
right,right,C,i,switch,0.259,0.254,0.506
left,right,I,c,switch,0.292,0.192,0.475
right,left,I,i,switch,0.209,0.353,0.55
right,left,I,i,repeat,0.221,0.401,0.619
right,right,C,i,repeat,0.237,0.189,0.424
right,left,I,c,repeat,0.209,0.386,0.59
left,left,C,i,switch,0.237,0.237,0.473
left,left,C,c,repeat,0.259,0.302,0.555
left,left,C,c,repeat,0.292,0.239,0.521
right,right,C,c,switch,0.235,0.188,0.426
right,right,C,c,repeat,0.276,0.153,0.422
left,right,I,c,switch,0.275,0.236,0.505
left,left,C,i,repeat,0.258,0.222,0.468
right,right,C,c,switch,0.26,0.153,0.405
